land_category_label,year,Counties Reporting,Low Confidence Share,Median CV
Irrigated cropland,2008,135,,
Irrigated cropland,2009,609,,
Irrigated cropland,2010,606,,
Irrigated cropland,2011,604,,
Irrigated cropland,2012,598,,
Irrigated cropland,2013,613,,
Irrigated cropland,2014,643,,
Irrigated cropland,2016,693,,
Irrigated cropland,2017,703,,
Irrigated cropland,2019,647,,
Irrigated cropland,2020,675,,
Irrigated cropland,2021,713,1.7%,5.9
Irrigated cropland,2022,654,2.0%,6.2
Irrigated cropland,2023,701,1.6%,6.1
Irrigated cropland,2024,580,0.9%,5.7
Irrigated cropland,2025,622,3.2%,6.4
Irrigated cropland,2026,653,2.6%,6.9
Non-irrigated cropland,2008,1236,,
Non-irrigated cropland,2009,2179,,
Non-irrigated cropland,2010,2168,,
Non-irrigated cropland,2011,2176,,
Non-irrigated cropland,2012,2166,,
Non-irrigated cropland,2013,2187,,
Non-irrigated cropland,2014,2234,,
Non-irrigated cropland,2016,2233,,
Non-irrigated cropland,2017,2251,,
Non-irrigated cropland,2019,2160,,
Non-irrigated cropland,2020,2260,,
Non-irrigated cropland,2021,2475,1.1%,5.0
Non-irrigated cropland,2022,2374,1.5%,4.7
Non-irrigated cropland,2023,2405,1.5%,5.7
Non-irrigated cropland,2024,2242,2.1%,5.9
Non-irrigated cropland,2025,2317,3.0%,5.5
Non-irrigated cropland,2026,2359,3.8%,5.9
Pastureland,2008,748,,
Pastureland,2009,2069,,
Pastureland,2010,2026,,
Pastureland,2011,1837,,
Pastureland,2012,1783,,
Pastureland,2013,1795,,
Pastureland,2014,1947,,
Pastureland,2016,1971,,
Pastureland,2017,1944,,
Pastureland,2019,1871,,
Pastureland,2020,1951,,
Pastureland,2021,2031,2.4%,6.0
Pastureland,2022,1895,2.5%,6.5
Pastureland,2023,1955,3.2%,6.9
Pastureland,2024,1692,3.4%,7.1
Pastureland,2025,1825,4.9%,7.4
Pastureland,2026,1853,4.2%,7.3
