"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2024","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","59","63.2"
"CENSUS","2024","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","332","59.8"
"CENSUS","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,956","(H)"
"CENSUS","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION, FROM HYDROPONIC SYSTEMS - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,332","(H)"
"CENSUS","2024","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","87","65.6"
"CENSUS","2024","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","26","87.9"
"CENSUS","2024","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","181","72.2"
"CENSUS","2024","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEPPERS","PEPPERS, UNDER PROTECTION, FROM HYDROPONIC SYSTEMS - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","46","(H)"
