"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","135",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","300",""
"SURVEY","2025","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","440",""
"SURVEY","2024","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","130",""
"SURVEY","2024","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","106.9",""
"SURVEY","2024","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","360",""
"SURVEY","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","110",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","425",""
"SURVEY","2022","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","130",""
"SURVEY","2021","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","310",""
"SURVEY","2021","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","120",""
"SURVEY","2020","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","340",""
"SURVEY","2020","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","160",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","255",""
"SURVEY","2019","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","145",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2018","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","385",""
"SURVEY","2018","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","55",""
"SURVEY","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","65",""
