"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,200",""
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2025","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,400",""
"SURVEY","2025","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,100",""
"SURVEY","2024","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,000",""
"SURVEY","2024","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2024","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,800",""
"SURVEY","2024","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,100",""
"SURVEY","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,800",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,300",""
"SURVEY","2022","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,800",""
"SURVEY","2021","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2021","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,700",""
"SURVEY","2020","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2020","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,700",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEPPERS","PEPPERS, CHILE - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,500",""
