"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","","99","OTHER COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","134","4","94","15.7","19","8.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","50.5","9.4","33","12.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","14.5","10.4"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","36.5","7","25.5","5"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","44.5","6.3","13.5","6.7"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26","11.8","24","3.7"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","52.5","11.6","31.5","7.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","42","7.5","27.5","4.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","41","12.9","22.5","13.4"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","39.5","11","38","6.4"
